vehicleId;distance
100010701;131025.38939154394
100018701;55297.248363622864
100028401;45642.23675180788
100033101;98958.49210299745
100069001;13858.232604697043
10009801;37828.99401148817
100139201;14275.845391532304
100167201;20097.191794295966
100194701;93056.39386009605
100200201;15946.379798671958
100207801;34991.4041450291
100250001;35138.12948492706
10025101;18357.847173835336
100274201;63486.27197608648
100369601;4648.686510815489
100371601;151690.1022890819
10037201;5643.866098316439
100381101;57353.47854700855
100396301;132627.93005248357
100427701;19541.890311938783
100436401;56042.9299074961
100437301;125311.60028967023
100438401;9493.023220171624
100477601;105003.14445870527
100490601;29126.7115634971
100493301;16382.065041366968
100500801;43979.35859961661
100512501;23897.140704991667
100526501;68002.87167222303
100539801;120034.31725225328
100555001;130026.87228604627
100556001;33339.173213589595
100569801;81131.1344292328
100572901;58770.82886903992
100647101;48006.59663131429
100661801;54836.684070243995
100665101;37186.42489012571
100698701;24114.320858935695
100700401;84059.95811460176
100735401;79739.2916816897
100744001;83018.6625669335
100767001;21890.545744510353
100767601;5728.6524168261385
100781701;34924.61451112466
10079601;26984.861655205277
100817001;64122.00012299596
100837301;51114.188962881875
100842701;55412.020509039074
100847301;61238.76585736579
100859801;53234.24735231175
10086001;61767.46881394122
100925001;26172.76933669142
100948201;159987.61650287337
100957101;7851.751304987672
100979101;38492.792225671525
101011501;80330.93140026384
101022501;7311.328717121315
101044101;39318.32207532182
101060801;47868.30647892051
101064001;96071.03699454882
10110901;35420.740432728126
101110201;39919.26689551051
101110801;107300.34384683361
101143101;109648.3689633257
101172101;30373.42161461115
101187801;92649.41078374255
101217001;106505.5300664063
101221301;38406.00879966698
101245101;61869.74628543442
101286201;33339.09351764771
101303301;13397.490343802549
10142201;62580.693741634605
101428701;86186.50680124376
101429701;60610.16131385521
101442101;33076.65408827863
101446501;35168.43225456474
101447301;17307.175103056026
101468601;104392.83838045485
101501001;41848.47016008745
101529201;60377.07679030169
101534201;69293.8070852258
101540301;16596.429232797644
101604501;8970.433687035993
101607801;160412.0415251077
101615601;50921.58903110758
101626801;55303.09752465912
101634601;57973.25436943495
101665201;30805.90402212086
101674901;19265.565131573218
101677801;43867.179230908856
101706101;46839.49073514512
101715701;81342.43117825194
101718801;46893.14895802673
101723501;80529.95813612734
101769301;39844.606264846494
101798201;76022.37036191925
101844201;52920.452794943754
101847601;20374.74128836138
101866301;29877.022145158455
101888201;20353.646008858537
101888401;182758.22622237922
101902501;21599.639920517762
101916301;202272.93255128444
101929601;169032.1351636629
102029001;92296.06852997513
102061201;56891.93389026
102065601;30274.68394208752
102077601;45926.15548576021
102092401;37105.74415697302
102107701;36133.38179951232
102133101;17212.00484355525
102152401;116092.27833601515
102223501;66261.78797312063
102241901;39183.37307807303
102242701;35757.67948665722
102274301;188495.04943793154
102304001;6270.851031481576
102307201;55004.574028083254
10231401;69525.85959667228
102323101;128811.47946489361
102335701;120788.73165701017
102347401;112305.28522728886
102358601;69681.28488571395
102361901;56409.48296462361
102418901;56218.20270860838
102443501;50448.69431859955
102446801;22226.40974715744
102453901;63121.88026952164
102470901;185740.0260183596
102485301;70318.14001378177
102528701;74618.80227805358
102531401;89469.07905122681
102544401;63999.24962348577
10257001;62964.90191397176
102601;140451.64432124567
102642901;67525.32336892527
102654601;110698.09444125292
102657101;46073.080546645986
102660301;109533.04806655244
